n_reads_raw_demux,plate_well,total_reads_well,pct_demux_reaching_pipeline
54619,plate02_well07,2925,0.0535527929841264
161452,plate02_well06,8873,0.0549575105913832
72541,plate02_well90,4039,0.055678857473704525
39797,plate02_well04,2420,0.06080860366359273
10104,plate02_well05,617,0.06106492478226445
16925,plate02_well16,1044,0.06168389955686854
21162,plate02_well63,1344,0.06351006521122768
4575,plate02_well45,293,0.06404371584699453
58260,plate02_well20,3897,0.06688980432543769
13539,plate02_well68,910,0.06721323583721102
27561,plate02_well39,1876,0.06806719640071116
53027,plate02_well01,3645,0.06873856714503931
23393,plate02_well61,1623,0.06937972897875433
31698,plate02_well31,2282,0.07199192378068017
16817,plate02_well69,1236,0.07349705654991973
125580,plate02_well18,9376,0.07466157031374422
6016,plate02_well88,465,0.0772938829787234
58179,plate02_well19,4505,0.07743343818216195
11101,plate02_well91,866,0.07801099000090082
46305,plate02_well38,3882,0.08383543893747976
26418,plate02_well37,2225,0.0842228783405254
70579,plate02_well52,6209,0.08797234304821548
61449,plate02_well73,5571,0.09066054777132256
82284,plate02_well43,7761,0.09431967332652763
9482,plate02_well49,908,0.09576038810377557
7661,plate02_well78,736,0.09607100900665709
58483,plate02_well28,5681,0.09713933963715951
5484,plate02_well92,538,0.09810357403355215
121531,plate02_well27,12170,0.1001390591700883
18945,plate02_well44,2015,0.10636051728688309
63613,plate02_well53,6812,0.10708502978950843
48933,plate02_well41,5333,0.10898575603376044
23865,plate02_well62,2687,0.11259166142887073
43935,plate02_well08,5323,0.12115625355639012
19616,plate02_well13,2391,0.12189029363784666
28471,plate02_well93,3479,0.12219451371571072
25261,plate02_well67,3206,0.12691500732354222
45564,plate02_well40,5912,0.12975155824773946
7193,plate02_well64,955,0.13276796885861253
44915,plate02_well02,6144,0.13679171768896806
41397,plate02_well65,5726,0.13831920187453198
63494,plate02_well14,9146,0.14404510662424796
28481,plate02_well89,4768,0.16740985218215654
2165,plate02_well94,398,0.18383371824480368
167498,plate02_well17,31487,0.18798433414130317
111323,plate02_well26,23147,0.20792648419464083
22984,plate02_well25,5222,0.22720153150017403
6596,plate02_well85,1681,0.2548514251061249
16879,plate02_well15,4319,0.2558800876829196
59,plate02_well33,16,0.2711864406779661
3876,plate02_well32,1144,0.2951496388028896
34282,plate02_well03,11395,0.3323901756023569
3,plate02_well47,1,0.3333333333333333
2127,plate02_well70,732,0.3441466854724965
115072,plate02_well79,45317,0.39381430756395996
1936,plate02_well87,804,0.4152892561983471
528,plate02_well51,227,0.42992424242424243
21652,plate02_well50,9435,0.4357565121004988
755,plate02_well86,378,0.5006622516556292
2856,plate02_well57,1469,0.5143557422969187
110199,plate02_well29,57766,0.5241971342752657
842,plate02_well74,459,0.5451306413301663
36934,plate02_well10,25723,0.6964585476796448
553,plate02_well54,390,0.705244122965642
35959,plate02_well80,28714,0.7985205372785673
8121,plate02_well75,6533,0.8044575791158725
12,plate02_well59,10,0.8333333333333334
19,plate02_well12,16,0.8421052631578947
57,plate02_well71,48,0.8421052631578947
142412,plate02_well21,122557,0.8605805690531697
8,plate02_well66,7,0.875
9768,plate02_well22,8597,0.8801187551187551
9,plate02_well96,8,0.8888888888888888
21,plate02_well83,19,0.9047619047619048
22,plate02_well36,20,0.9090909090909091
9277,plate02_well42,8463,0.9122561172792929
40,plate02_well84,37,0.925
52,plate02_well48,49,0.9423076923076923
36045,plate02_well09,34249,0.950173394368151
61,plate02_well82,58,0.9508196721311475
48,plate02_well46,46,0.9583333333333334
245,plate02_well55,237,0.9673469387755103
68,plate02_well35,67,0.9852941176470589
23152,plate02_well76,22939,0.9907999308914996
348,plate02_well23,346,0.9942528735632183
45029,plate02_well56,44866,0.9963801105953941
44825,plate02_well30,44705,0.9973229224762967
6787,plate02_well34,6774,0.9980845734492412
27387,plate02_well11,27371,0.9994157812100631
14,plate02_well24,14,1
46,plate02_well58,46,1
7,plate02_well60,7,1
15,plate02_well72,15,1
196,plate02_well77,196,1
4,plate02_well81,4,1
132,plate02_well95,132,1
