plate ,well,type,parent1,parent2,parent1_label,parent2_label
plate02,well01,coinfection,CA09,PAN99,CA09,PAN99
plate02,well02,coinfection,CA09,PAN99,CA09,PAN99
plate02,well03,coinfection,CA09,PAN99,CA09,PAN99
plate02,well04,coinfection,CA09,PAN99,CA09,PAN99
plate02,well05,coinfection,CA09,PAN99,CA09,PAN99
plate02,well06,coinfection,CA09,PAN99,CA09,PAN99
plate02,well07,coinfection,CA09,PAN99,CA09,PAN99
plate02,well08,coinfection,CA09,PAN99,CA09,PAN99
plate02,well09,coinfection,CA09,PAN99,CA09,PAN99
plate02,well10,coinfection,CA09,PAN99,CA09,PAN99
plate02,well11,coinfection,CA09,PAN99,CA09,PAN99
plate02,well12,coinfection,CA09,PAN99,CA09,PAN99
plate02,well13,coinfection,CA09,PAN99,CA09,PAN99
plate02,well14,coinfection,CA09,PAN99,CA09,PAN99
plate02,well15,coinfection,CA09,PAN99,CA09,PAN99
plate02,well16,coinfection,CA09,PAN99,CA09,PAN99
plate02,well17,coinfection,CA09,PAN99,CA09,PAN99
plate02,well18,coinfection,CA09,PAN99,CA09,PAN99
plate02,well19,coinfection,CA09,PAN99,CA09,PAN99
plate02,well20,coinfection,CA09,PAN99,CA09,PAN99
plate02,well21,coinfection,CA09,PAN99,CA09,PAN99
plate02,well22,coinfection,CA09,PAN99,CA09,PAN99
plate02,well23,coinfection,CA09,PAN99,CA09,PAN99
plate02,well24,coinfection,CA09,PAN99,CA09,PAN99
plate02,well25,coinfection,CA09,PAN99,CA09,PAN99
plate02,well26,coinfection,CA09,PAN99,CA09,PAN99
plate02,well27,coinfection,CA09,PAN99,CA09,PAN99
plate02,well28,coinfection,CA09,PAN99,CA09,PAN99
plate02,well29,coinfection,CA09,PAN99,CA09,PAN99
plate02,well30,coinfection,CA09,PAN99,CA09,PAN99
plate02,well31,coinfection,CA09,PAN99,CA09,PAN99
plate02,well32,coinfection,CA09,PAN99,CA09,PAN99
plate02,well33,coinfection,CA09,PAN99,CA09,PAN99
plate02,well34,coinfection,CA09,PAN99,CA09,PAN99
plate02,well35,coinfection,CA09,PAN99,CA09,PAN99
plate02,well36,coinfection,CA09,PAN99,CA09,PAN99
plate02,well37,coinfection,CA09,PAN99,CA09,PAN99
plate02,well38,coinfection,CA09,PAN99,CA09,PAN99
plate02,well39,coinfection,CA09,PAN99,CA09,PAN99
plate02,well40,coinfection,CA09,PAN99,CA09,PAN99
plate02,well41,coinfection,CA09,PAN99,CA09,PAN99
plate02,well42,coinfection,CA09,PAN99,CA09,PAN99
plate02,well43,coinfection,CA09,PAN99,CA09,PAN99
plate02,well44,coinfection,CA09,PAN99,CA09,PAN99
plate02,well45,coinfection,CA09,PAN99,CA09,PAN99
plate02,well46,coinfection,CA09,PAN99,CA09,PAN99
